Name,Owner,Category,District,Province
"23. David Whitehead ","Industry ","Clinic ","Chegutu District ","MASHONALAND WEST PROVINCE "
"24. Hunyani Pulp & Paper ","Industry ","Clinic ","Chegutu District ","MASHONALAND WEST PROVINCE "
"25. Monedale ","Pvt. ","Clinic ","Chegutu District ","MASHONALAND WEST PROVINCE "
"26. ZMDC ","Mine ","Clinic ","Chegutu District ","MASHONALAND WEST PROVINCE "
"27. Lismore ","RDC ","Clinic ","Chegutu District ","MASHONALAND WEST PROVINCE "
"28. Mafuti ","RDC ","Clinic ","Chegutu District ","MASHONALAND WEST PROVINCE "
"29. Brunswick ","RDC ","Clinic ","Chegutu District ","MASHONALAND WEST PROVINCE "
"1. Karoi ","Govt. ","District Hospital ","Hururungwe District ","MASHONALAND WEST PROVINCE "
"2. Hurungwe ","Govt. ","Rural Hospital ","Hururungwe District ","MASHONALAND WEST PROVINCE "
"3. Mwami ","Govt. ","Rural Hospital ","Hururungwe District ","MASHONALAND WEST PROVINCE "
"4. Chirundu ","Govt. ","RHC ","Hururungwe District ","MASHONALAND WEST PROVINCE "
"5. Chivende ","Govt. ","RHC ","Hururungwe District ","MASHONALAND WEST PROVINCE "
"6. Kasimure ","Govt. ","RHC ","Hururungwe District ","MASHONALAND WEST PROVINCE "
"7. Marongora ","Govt. ","Clinic ","Hururungwe District ","MASHONALAND WEST PROVINCE "
"8. Masanga  ","Govt. ","RHC ","Hururungwe District ","MASHONALAND WEST PROVINCE "
"9. Zvipani ","Govt. ","RHC ","Hururungwe District ","MASHONALAND WEST PROVINCE "
"10 Chinhere ","RDC ","Clinic ","Hururungwe District ","MASHONALAND WEST PROVINCE "
"11. Chundu ","RDC ","Clinic ","Hururungwe District ","MASHONALAND WEST PROVINCE "
"12. Helwin ","RDC ","Clinic ","Hururungwe District ","MASHONALAND WEST PROVINCE "
"13. Hesketh ","RDC ","Clinic ","Hururungwe District ","MASHONALAND WEST PROVINCE "
"14. Kazangarare ","RDC ","Clinic ","Hururungwe District ","MASHONALAND WEST PROVINCE "
"15. Mashongwe ","RDC ","Clinic ","Hururungwe District ","MASHONALAND WEST PROVINCE "
"16. Nyamakate ","RDC ","Clinic ","Hururungwe District ","MASHONALAND WEST PROVINCE "
"17. Nyamhunga ","RDC ","Clinic ","Hururungwe District ","MASHONALAND WEST PROVINCE "
"18. Nyangoma ","RDC ","Clinic ","Hururungwe District ","MASHONALAND WEST PROVINCE "
"19. Tengwe ","RDC ","Clinic ","Hururungwe District ","MASHONALAND WEST PROVINCE "
"20. Dete ","RDC ","RHC ","Hururungwe District ","MASHONALAND WEST PROVINCE "
"21. Chidamoyo ","Mission Hosp. ","Rural Hosp. ","Hururungwe District ","MASHONALAND WEST PROVINCE "
"22. Kapfunde  ","RDC ","Clinic ","Hururungwe District ","MASHONALAND WEST PROVINCE "
"22. Lynx ","Mine ","Clinic ","Hururungwe District ","MASHONALAND WEST PROVINCE "
"23. Karoi Static ","Town Council ","Clinic ","Hururungwe District ","MASHONALAND WEST PROVINCE "
"24. Lanroy  ","Govt. ","Clinic ","Hururungwe District ","MASHONALAND WEST PROVINCE "
"25. Zebra Downs ","Govt. ","Clinic ","Hururungwe District ","MASHONALAND WEST PROVINCE "
"26. ZRP ","Govt. ","Clinic ","Hururungwe District ","MASHONALAND WEST PROVINCE "
"27. Chikangwe ","RDC ","Clinic ","Hururungwe District ","MASHONALAND WEST PROVINCE "
"1. Kadoma ","Govt. ","District Hosp. ","Kadoma District ","MASHONALAND WEST PROVINCE "
"2. Ngezi ","Govt. ","Rural Hosp. ","Kadoma District ","MASHONALAND WEST PROVINCE "
"3. Vere ","Govt. ","Clinic ","Kadoma District ","MASHONALAND WEST PROVINCE "
"4. Nyamatani ","Govt. ","RHC ","Kadoma District ","MASHONALAND WEST PROVINCE "
"5. Nyabango ","Govt. ","RHC ","Kadoma District ","MASHONALAND WEST PROVINCE "
"6. Manyoni ","Govt. ","RHC ","Kadoma District ","MASHONALAND WEST PROVINCE "
"7. Muzvezve ","Govt. ","RHC ","Kadoma District ","MASHONALAND WEST PROVINCE "
"8. Kadoma Prison ","Govt. ","Clinic ","Kadoma District ","MASHONALAND WEST PROVINCE "
"9. Jondale ","Govt. ","RHC ","Kadoma District ","MASHONALAND WEST PROVINCE "
"10. Jompani ","Govt. ","RHC ","Kadoma District ","MASHONALAND WEST PROVINCE "
"11. Geja  ","Govt. ","RHC ","Kadoma District ","MASHONALAND WEST PROVINCE "
"12. Dondoshava ","Govt. ","RHC ","Kadoma District ","MASHONALAND WEST PROVINCE "
". Donaine ","Govt. ","RHC ","Kadoma District ","MASHONALAND WEST PROVINCE "
"14.  Kadoma ZRP ","Govt. ","clinic ","Kadoma District ","MASHONALAND WEST PROVINCE "
"15. Nyaunde ","Govt. ","Clinic ","Kadoma District ","MASHONALAND WEST PROVINCE "
"16. Rimuka (MCH) ","Municipality ","Hosp. ","Kadoma District ","MASHONALAND WEST PROVINCE "
"17.  Rimuka ","Municipality ","Clinic ","Kadoma District ","MASHONALAND WEST PROVINCE "
"18. Chemukute ","Municipality ","Clinic ","Kadoma District ","MASHONALAND WEST PROVINCE "
"19. Ingezi ","Municipality ","Clinic ","Kadoma District ","MASHONALAND WEST PROVINCE "
"20. Warverly ","Municipality ","Clinic ","Kadoma District ","MASHONALAND WEST PROVINCE "
"21. Turf Estate ","RDC ","Clinic ","Kadoma District ","MASHONALAND WEST PROVINCE "
"22. Sanyati ","RDC ","Clinic ","Kadoma District ","MASHONALAND WEST PROVINCE "
"23. Ordof ","RDC ","Clinic ","Kadoma District ","MASHONALAND WEST PROVINCE "
"24. Muuyu ","RDC ","Clinic ","Kadoma District ","MASHONALAND WEST PROVINCE "
"25. Murambwa ","RDC ","Clinic ","Kadoma District ","MASHONALAND WEST PROVINCE "
"26. Manyewe ","RDC ","Clinic ","Kadoma District ","MASHONALAND WEST PROVINCE "
"27. Mafindifindi ","RDC ","Clinic ","Kadoma District ","MASHONALAND WEST PROVINCE "
"28. Chirikiti ","RDC ","Clinic ","Kadoma District ","MASHONALAND WEST PROVINCE "
"29. Chenjiri ","RDC ","Clinic ","Kadoma District ","MASHONALAND WEST PROVINCE "
"30. Bururu ","RDC ","Clinic ","Kadoma District ","MASHONALAND WEST PROVINCE "
"31. Mukarati ","RDC ","Clinic ","Kadoma District ","MASHONALAND WEST PROVINCE "
"32. St. Michaels ","Mission Hosp. ","Rural Hosp. ","Kadoma District ","MASHONALAND WEST PROVINCE "
"33. Sanyati  ","Mission Hosp. ","Rural Hosp. ","Kadoma District ","MASHONALAND WEST PROVINCE "
"34. Dalny Rufaro ","Mine ","Clinic ","Kadoma District ","MASHONALAND WEST PROVINCE "
"35. Venice ","Mine ","Clinic ","Kadoma District ","MASHONALAND WEST PROVINCE "
"36. Golden Valley ","Mine ","Clinic ","Kadoma District ","MASHONALAND WEST PROVINCE "
"37. Eiffel Flats ","Mine ","Clinic ","Kadoma District ","MASHONALAND WEST PROVINCE "
"38. Kadoma Textile  ","Industry ","Clinic ","Kadoma District ","MASHONALAND WEST PROVINCE "
"39. Population Services ","Pvt. ","Clinic ","Kadoma District ","MASHONALAND WEST PROVINCE "
"40. Jairos Jiri ","Pvt. ","Clinic ","Kadoma District ","MASHONALAND WEST PROVINCE "
"41. David Whitehead ","Industry ","Clinic ","Kadoma District ","MASHONALAND WEST PROVINCE "
"42. Battlefields ","Army ","Clinic ","Kadoma District ","MASHONALAND WEST PROVINCE "
"43. Blackmovel ","RDC ","Clinic ","Kadoma District ","MASHONALAND WEST PROVINCE "
"44. Chingondo ","RDC ","Clinic ","Kadoma District ","MASHONALAND WEST PROVINCE "
"45. Twintops ","RDC ","Clinic ","Kadoma District ","MASHONALAND WEST PROVINCE "
"46. Patchway ","RDC ","Clinic ","Kadoma District ","MASHONALAND WEST PROVINCE "
"47. Gavhunga ","RDC ","RHC ","Kadoma District ","MASHONALAND WEST PROVINCE "
"1. Kariba ","Govt. ","District hosp. ","Kariba District ","MASHONALAND WEST PROVINCE "
"2. Gache Gache ","Govt. ","RHC ","Kariba District ","MASHONALAND WEST PROVINCE "
"3. Kanyati ","Govt. ","RHC ","Kariba District ","MASHONALAND WEST PROVINCE "
"4. Mola ","Govt. ","Clinic ","Kariba District ","MASHONALAND WEST PROVINCE "
"5. Chalala ","RDC ","RHC ","Kariba District ","MASHONALAND WEST PROVINCE "
"6. Msapakaruma ","RDC ","Clinic ","Kariba District ","MASHONALAND WEST PROVINCE "
"7. Negande ","Govt. ","Clinic ","Kariba District ","MASHONALAND WEST PROVINCE "
"8. Siakobvu ","Govt. ","Rural Hosp. ","Kariba District ","MASHONALAND WEST PROVINCE "
"9. Mahombekombe ","Town Council ","Clinic ","Kariba District ","MASHONALAND WEST PROVINCE "
"10. Nyamhunga ","Town Council ","Clinic ","Kariba District ","MASHONALAND WEST PROVINCE "
"11. Caribbea Bay ","Pvt. ","Clinic ","Kariba District ","MASHONALAND WEST PROVINCE "
"12. Crocodile  ","Pvt. ","Clinic ","Kariba District ","MASHONALAND WEST PROVINCE "
"1. Chinhoyi ","Govt. ","Provincial Hosp. ","Makonde District ","MASHONALAND WEST PROVINCE "
"2. Chinhoyi Prison ","Prisons ","Clinic ","Makonde District ","MASHONALAND WEST PROVINCE "
"3. Chinhoyi Teachers  ","Higher Education ","Clinic ","Makonde District ","MASHONALAND WEST PROVINCE "
"4. Chihoyi ZRP ","ZRP ","Clinic ","Makonde District ","MASHONALAND WEST PROVINCE "
"5. Kenzamba ","Govt. ","Clinic ","Makonde District ","MASHONALAND WEST PROVINCE "
"6. Murereka ","Govt. ","RHC ","Makonde District ","MASHONALAND WEST PROVINCE "
"7. Zumbara ","Govt. ","RHC ","Makonde District ","MASHONALAND WEST PROVINCE "
"8. Gudubu ","Govt. ","RHC ","Makonde District ","MASHONALAND WEST PROVINCE "
"9. Chikonohono ","Municipality ","Clinic ","Makonde District ","MASHONALAND WEST PROVINCE "
"10. Chinhoyi ","Municipality ","Clinic ","Makonde District ","MASHONALAND WEST PROVINCE "
"11. Doma ","RDC ","Clinic ","Makonde District ","MASHONALAND WEST PROVINCE "
"12. Hombwe ","RDC ","Clinic ","Makonde District ","MASHONALAND WEST PROVINCE "
"13. Kosana ","RDC ","Clinic ","Makonde District ","MASHONALAND WEST PROVINCE "
"14. Matoranjera ","RDC ","Clinic ","Makonde District ","MASHONALAND WEST PROVINCE "
"15. Mukohwe ","RDC ","Clinic ","Makonde District ","MASHONALAND WEST PROVINCE "
"16. Obva ","RDC ","Clinic ","Makonde District ","MASHONALAND WEST PROVINCE "
"17. Umboe ","RDC ","Clinic ","Makonde District ","MASHONALAND WEST PROVINCE "
"18. Godzi ","RDC ","Clinic ","Makonde District ","MASHONALAND WEST PROVINCE "
"19. Runene ","Municipality ","Clinic ","Makonde District ","MASHONALAND WEST PROVINCE "
"20. Mhangura Christian ","Mission Hosp. ","Rural Hosp. ","Makonde District ","MASHONALAND WEST PROVINCE "
"21. C.S.C. ","Industry ","Clinic ","Makonde District ","MASHONALAND WEST PROVINCE "
"22. Chitambo ","Pvt. ","Clinic ","Makonde District ","MASHONALAND WEST PROVINCE "
"23. Shackelton ","Municipality ","Clinic ","Makonde District ","MASHONALAND WEST PROVINCE "
"24. Nyamugomba ","Govt. ","Clinic ","Makonde District ","MASHONALAND WEST PROVINCE "
"25. Green Valley ","Govt. ","Clinic ","Makonde District ","MASHONALAND WEST PROVINCE "
"26. River Ranch ","Govt. ","Clinic ","Makonde District ","MASHONALAND WEST PROVINCE "
"27. Umboe ","RDC ","Clinic ","Makonde District ","MASHONALAND WEST PROVINCE "
"28. Alaska ","Govt. ","Clinic ","Makonde District ","MASHONALAND WEST PROVINCE "
"29. ZPS ","Govt. ","Clinic ","Makonde District ","MASHONALAND WEST PROVINCE "
"30. CSC ","Pvt. ","Clinic ","Makonde District ","MASHONALAND WEST PROVINCE "
"3`1. Sunngdale ","Pvt. ","Clinic ","Makonde District ","MASHONALAND WEST PROVINCE "
"1. Banket ","Govt. ","District Hosp. ","Zvimba District ","MASHONALAND WEST PROVINCE "
"2. Darwedale ","Govt. ","Rural Hosp. ","Zvimba District ","MASHONALAND WEST PROVINCE "
"3. Raffingora ","Govt. ","Rural Hosp. ","Zvimba District ","MASHONALAND WEST PROVINCE "
"4. Zvimba ","Govt. ","Rural Hosp. ","Zvimba District ","MASHONALAND WEST PROVINCE "
"5. Chivhere ","Govt. ","RHC ","Zvimba District ","MASHONALAND WEST PROVINCE "
"6. Gwebi ","Govt. ","RHC ","Zvimba District ","MASHONALAND WEST PROVINCE "
"7. Ziam ","Govt. ","Clinic ","Zvimba District ","MASHONALAND WEST PROVINCE "
"8. Ada Sisi ","RDC ","RHC ","Zvimba District ","MASHONALAND WEST PROVINCE "
"9. Aryshire ","RDC ","Clinic ","Zvimba District ","MASHONALAND WEST PROVINCE "
"10. Chirau ","RDC ","Clinic ","Zvimba District ","MASHONALAND WEST PROVINCE "
"11. Jari ","RDC ","Clinic ","Zvimba District ","MASHONALAND WEST PROVINCE "
"12. Kutama ","RDC ","Clinic ","Zvimba District ","MASHONALAND WEST PROVINCE "
"13. Kuwadzana ","RDC ","Clinic ","Zvimba District ","MASHONALAND WEST PROVINCE "
"14. Madzorera ","RDC ","Clinic ","Zvimba District ","MASHONALAND WEST PROVINCE "
"15. Masiyarwa ","RDC ","Clinic ","Zvimba District ","MASHONALAND WEST PROVINCE "
"16. Mpumbu ","RDC ","Clinic ","Zvimba District ","MASHONALAND WEST PROVINCE "
"17. Mt. Hampden ","RDC ","Clinic ","Zvimba District ","MASHONALAND WEST PROVINCE "
"18. Mutorashanga ","RDC ","Rural Hosp. ","Zvimba District ","MASHONALAND WEST PROVINCE "
"19. Nyabira ","RDC ","Clinic ","Zvimba District ","MASHONALAND WEST PROVINCE "
"20. Tobacco Research B. ","RDC ","Clinic ","Zvimba District ","MASHONALAND WEST PROVINCE "
"21. Trelawney ","RDC ","Clinic ","Zvimba District ","MASHONALAND WEST PROVINCE "
"22. Zowa ","RDC ","Clinic ","Zvimba District ","MASHONALAND WEST PROVINCE "
"23. Dzivarasekwa ","","Clinic RDC ","Zvimba District ","MASHONALAND WEST PROVINCE "
"Extension ","","","Zvimba District ","MASHONALAND WEST PROVINCE "
"24. Father O’Hea ","Mission Hosp. ","Rural Hosp. ","Zvimba District ","MASHONALAND WEST PROVINCE "
"25. Ceasar  ","Mine ","Clinic ","Zvimba District ","MASHONALAND WEST PROVINCE "
"26. Muriel ","Mine ","Clinic ","Zvimba District ","MASHONALAND WEST PROVINCE "
"27. Sutton ","Mine ","Clinic ","Zvimba District ","MASHONALAND WEST PROVINCE "
"28. Vanad ","Mine ","Clinic ","Zvimba District ","MASHONALAND WEST PROVINCE "
"29. Aryshire ","Mine ","Clinic ","Zvimba District ","MASHONALAND WEST PROVINCE "
"30. Crest Breeders ","Industry ","Clinic ","Zvimba District ","MASHONALAND WEST PROVINCE "
"31. Zipam  ","Pvt. ","Clinic ","Zvimba District ","MASHONALAND WEST PROVINCE "
"32. Mapinga ","Govt. ","Clinic ","Zvimba District ","MASHONALAND WEST PROVINCE "
"1. Sadza ","Govt. ","District Hosp. ","Chikomba District ","MASHONALAND EAST PROVINCE "
"2. Chivu ","Govt. ","Rural Hosp. ","Chikomba District ","MASHONALAND EAST PROVINCE "
"3. Nharira ","Govt. ","Rural Hosp. ","Chikomba District ","MASHONALAND EAST PROVINCE "
"4. Mufudziwakanaka ","Govt. ","RHC ","Chikomba District ","MASHONALAND EAST PROVINCE "
"5. Nyamhere ","Govt. ","RHC ","Chikomba District ","MASHONALAND EAST PROVINCE "
"6. Zvamatohwe ","Govt. ","RHC ","Chikomba District ","MASHONALAND EAST PROVINCE "
"7. ZRP ","ZRP ","Clinic ","Chikomba District ","MASHONALAND EAST PROVINCE "
"8. ZPS ","ZPS ","Clinic ","Chikomba District ","MASHONALAND EAST PROVINCE "
"9. Range ","Govt. ","Clinic ","Chikomba District ","MASHONALAND EAST PROVINCE "
"10. Bvumbura ","RDC ","Clinic ","Chikomba District ","MASHONALAND EAST PROVINCE "
"11. Chivhu ","RDC ","Clinic ","Chikomba District ","MASHONALAND EAST PROVINCE "
"12. Gandani ","RDC ","Clinic ","Chikomba District ","MASHONALAND EAST PROVINCE "
"13. Gokomere  ","RDC ","Clinic ","Chikomba District ","MASHONALAND EAST PROVINCE "
"14. Lanchashire ","RDC ","Clinic ","Chikomba District ","MASHONALAND EAST PROVINCE "
"15. Madamombe ","RDC ","Clinic ","Chikomba District ","MASHONALAND EAST PROVINCE "
"16. Manyene/Chambara ","RDC ","Clinic ","Chikomba District ","MASHONALAND EAST PROVINCE "
"17. Masasa ","RDC ","Clinic ","Chikomba District ","MASHONALAND EAST PROVINCE "
"18. Mbiru ","RDC ","Clinic ","Chikomba District ","MASHONALAND EAST PROVINCE "
"19. Mushipe ","RDC ","Clinic ","Chikomba District ","MASHONALAND EAST PROVINCE "
"20. Nhangabvi ","RDC ","Clinic ","Chikomba District ","MASHONALAND EAST PROVINCE "
"21. Murzi ","RDC ","Clinic ","Chikomba District ","MASHONALAND EAST PROVINCE "
"22. Musumba ","RDC ","Clinic  ","Chikomba District ","MASHONALAND EAST PROVINCE "
"23. Mutoro ","RDC ","Clinic ","Chikomba District ","MASHONALAND EAST PROVINCE "
"24. Pokoteke ","RDC ","Clinic ","Chikomba District ","MASHONALAND EAST PROVINCE "
"25. Rutanhire ","RDC ","Clinic ","Chikomba District ","MASHONALAND EAST PROVINCE "
"26. Shumba ","RDC ","Clinic ","Chikomba District ","MASHONALAND EAST PROVINCE "
"27. Unyetu ","RDC ","Clinic ","Chikomba District ","MASHONALAND EAST PROVINCE "
"28. Wazvaremhaka ","RDC ","Clinic ","Chikomba District ","MASHONALAND EAST PROVINCE "
"29. Wishire ","RDC ","Clinic ","Chikomba District ","MASHONALAND EAST PROVINCE "
"30. Daramombe ","Mission ","Clinic ","Chikomba District ","MASHONALAND EAST PROVINCE "
"31. Gandachibvuwa ","Mission ","Rural Hosp. ","Chikomba District ","MASHONALAND EAST PROVINCE "
"32. Mwerahari ","Mission ","Clinic ","Chikomba District ","MASHONALAND EAST PROVINCE "
"1. Makumbe ","Govt. ","District Hosp. ","Goromonzi District ","MASHONALAND EAST PROVINCE "
"2. Chikwaka ","Govt. ","Rural Hosp. ","Goromonzi District ","MASHONALAND EAST PROVINCE "
"3. Bosha ","Govt. ","RHC ","Goromonzi District ","MASHONALAND EAST PROVINCE "
"4. Mwanza ","Govt. ","RHC ","Goromonzi District ","MASHONALAND EAST PROVINCE "
"5. Domboshava ","Govt. ","Clinic ","Goromonzi District ","MASHONALAND EAST PROVINCE "
"6. Rusununguko ","Govt. ","Clinic ","Goromonzi District ","MASHONALAND EAST PROVINCE "
"7. Goromonzi High ","Govt. ","Clinic ","Goromonzi District ","MASHONALAND EAST PROVINCE "
"8. Bromley ","RDC ","Clinic ","Goromonzi District ","MASHONALAND EAST PROVINCE "
"9. Chinamhora ","RDC ","Clinic ","Goromonzi District ","MASHONALAND EAST PROVINCE "
"10. Chinyika ","RDC ","Clinic ","Goromonzi District ","MASHONALAND EAST PROVINCE "
"11. Cranbone ","RDC ","Clinic ","Goromonzi District ","MASHONALAND EAST PROVINCE "
"12. Henry John Rheimer ","RDC ","Clinic ","Goromonzi District ","MASHONALAND EAST PROVINCE "
"13. John Rekin ","RDC ","Clinic ","Goromonzi District ","MASHONALAND EAST PROVINCE "
"14. Kowoyo ","RDC ","Clinic ","Goromonzi District ","MASHONALAND EAST PROVINCE "
"15. Kubatsirana (Acturus) ","Pvt. ","Clinic ","Goromonzi District ","MASHONALAND EAST PROVINCE "
"16. Masukandoro ","Pvt. ","Clinic ","Goromonzi District ","MASHONALAND EAST PROVINCE "
"17. Nyaure ","Pvt ","Clinic ","Goromonzi District ","MASHONALAND EAST PROVINCE "
"18. Pote ","Pvt. ","Clinic ","Goromonzi District ","MASHONALAND EAST PROVINCE "
"19. Rusike ","Pvt ","Clinic ","Goromonzi District ","MASHONALAND EAST PROVINCE "
"20. Ruwa  ","Pvt ","clinic ","Goromonzi District ","MASHONALAND EAST PROVINCE "
"21. Acturus ","Mine ","Clinic ","Goromonzi District ","MASHONALAND EAST PROVINCE "
"22. St Joseph ","Mission ","Clinic ","Goromonzi District ","MASHONALAND EAST PROVINCE "
"23. Ruwa Rehabilitation ","Govt. ","Hospital ","Goromonzi District ","MASHONALAND EAST PROVINCE "
"1. Hwedza ","Govt. ","District Hosp. ","Hwedza District ","MASHONALAND EAST PROVINCE "
"2. Garaba ","Govt. ","RHC ","Hwedza District ","MASHONALAND EAST PROVINCE "
"3. Goneso ","Govt. ","RHC ","Hwedza District ","MASHONALAND EAST PROVINCE "
"4. Goto ","Govt. ","RHC ","Hwedza District ","MASHONALAND EAST PROVINCE "
"5. Gotora ","Govt. ","RHC ","Hwedza District ","MASHONALAND EAST PROVINCE "
"6. Sengezi ","Govt. ","RHC ","Hwedza District ","MASHONALAND EAST PROVINCE "
"7. Chigondo ","RDC ","Clinic ","Hwedza District ","MASHONALAND EAST PROVINCE "
"8. Chikumaiwa ","Govt. ","Clinic ","Hwedza District ","MASHONALAND EAST PROVINCE "
"9. Mukamba ","RDC ","Clinic ","Hwedza District ","MASHONALAND EAST PROVINCE "
"10. Makarara ","RDC ","clinic ","Hwedza District ","MASHONALAND EAST PROVINCE "
"11. Zvidhuri ","RDC ","Clinic ","Hwedza District ","MASHONALAND EAST PROVINCE "
"12. Mt. St. Mary’s ","Mission ","Rural Hosp. ","Hwedza District ","MASHONALAND EAST PROVINCE "
"13. Skimpton ","Govt. ","Clinic ","Hwedza District ","MASHONALAND EAST PROVINCE "
"14. Idube ","Govt. ","Clinic ","Hwedza District ","MASHONALAND EAST PROVINCE "
"15. Garaba ","Govt. ","Clinic ","Hwedza District ","MASHONALAND EAST PROVINCE "
"1. Kotwa ","Govt. ","District Hosp. ","Mudzi District ","MASHONALAND EAST PROVINCE "
"2. Chiunye ","Govt. ","RHC ","Mudzi District ","MASHONALAND EAST PROVINCE "
"3. Gozi ","Govt. ","RHC ","Mudzi District ","MASHONALAND EAST PROVINCE "
"4. Kondo ","Govt. ","RHC ","Mudzi District ","MASHONALAND EAST PROVINCE "
"5. Makaha ","Govt. ","RHC ","Mudzi District ","MASHONALAND EAST PROVINCE "
"6. Masarakufa ","Govt. ","RHC  ","Mudzi District ","MASHONALAND EAST PROVINCE "
"7. Nyamanyoro ","Govt. ","RHC ","Mudzi District ","MASHONALAND EAST PROVINCE "
"8. St. Pius ","RDC ","Clinic ","Mudzi District ","MASHONALAND EAST PROVINCE "
"9. Chisvo ","RDC ","Clinic ","Mudzi District ","MASHONALAND EAST PROVINCE "
"10. Kapotesa ","RDC ","Clinic ","Mudzi District ","MASHONALAND EAST PROVINCE "
"11. Kotwa ","RDC ","Clinic ","Mudzi District ","MASHONALAND EAST PROVINCE "
"12. Masenda ","RDC ","Clinic ","Mudzi District ","MASHONALAND EAST PROVINCE "
"13. Nyamapanda ","RDC ","Clinic ","Mudzi District ","MASHONALAND EAST PROVINCE "
"14. Nyamatawa ","RDC ","Clinic ","Mudzi District ","MASHONALAND EAST PROVINCE "
"15. Nyamukoho ","RDC ","Clinic ","Mudzi District ","MASHONALAND EAST PROVINCE "
"16. Shinga ","RDC ","Clinic ","Mudzi District ","MASHONALAND EAST PROVINCE "
"17. Suswe ","RDC ","Clinic ","Mudzi District ","MASHONALAND EAST PROVINCE "
"18. Chimukoko ","RDC ","Clinic ","Mudzi District ","MASHONALAND EAST PROVINCE "
"19. Chikwizo ","RDC ","Clinic ","Mudzi District ","MASHONALAND EAST PROVINCE "
"20. Dendera ","RDC ","clinic ","Mudzi District ","MASHONALAND EAST PROVINCE "
"21. Nyahuku ","RDC ","Clinic ","Mudzi District ","MASHONALAND EAST PROVINCE "
"1. Murewa  ","Govt. ","District Hosp. ","Murewa District ","MASHONALAND EAST PROVINCE "
"2. Chitate ","Govt. ","RHC ","Murewa District ","MASHONALAND EAST PROVINCE "
"3. Jekwa ","Govt. ","RHC ","Murewa District ","MASHONALAND EAST PROVINCE "
"4. Kadenge ","Govt. ","RHC ","Murewa District ","MASHONALAND EAST PROVINCE "
"5. Madamombe ","Govt. ","RHC ","Murewa District ","MASHONALAND EAST PROVINCE "
"6. Murewa Prison ","Govt. ","Clinic ","Murewa District ","MASHONALAND EAST PROVINCE "
"7. Munamba ","Govt. ","RHC ","Murewa District ","MASHONALAND EAST PROVINCE "
"8. Dandara ","RDC ","Clinic ","Murewa District ","MASHONALAND EAST PROVINCE "
"9. Chitowa I ","RDC ","clinic ","Murewa District ","MASHONALAND EAST PROVINCE "
"10. Chitowa II ","RDC ","Clinic ","Murewa District ","MASHONALAND EAST PROVINCE "
"11. Craiglea ","RDC ","Clinic ","Murewa District ","MASHONALAND EAST PROVINCE "
"12. Macheke ","RDC ","Clinic ","Murewa District ","MASHONALAND EAST PROVINCE "
"13. Dombwe  ","RDC ","Clinic ","Murewa District ","MASHONALAND EAST PROVINCE "
"14. Kadzere ","RDC ","Clinic ","Murewa District ","MASHONALAND EAST PROVINCE "
"15. Nyamutumbu ","RDC ","Clinic ","Murewa District ","MASHONALAND EAST PROVINCE "
"16. Shambamuto ","RDC ","Clinic ","Murewa District ","MASHONALAND EAST PROVINCE "
"17. Virginia ","RDC ","Clinic ","Murewa District ","MASHONALAND EAST PROVINCE "
"18. Matututu ","RDC ","Clinic ","Murewa District ","MASHONALAND EAST PROVINCE "
"19. Waterloo ","RDC ","Clinic ","Murewa District ","MASHONALAND EAST PROVINCE "
